period_end,air_temp,dni,ghi
2023-01-03 21:30:00+00:00,11,0,0
2023-01-03 22:00:00+00:00,11,0,0
2023-01-03 22:30:00+00:00,11,0,0
2023-01-03 23:00:00+00:00,11,0,0
2023-01-03 23:30:00+00:00,11,0,0
2023-01-04 00:00:00+00:00,11,0,0
2023-01-04 00:30:00+00:00,11,0,0
2023-01-04 01:00:00+00:00,11,0,0
2023-01-04 01:30:00+00:00,10,0,0
2023-01-04 02:00:00+00:00,10,0,0
2023-01-04 02:30:00+00:00,10,0,0
2023-01-04 03:00:00+00:00,10,0,0
2023-01-04 03:30:00+00:00,9,0,0
2023-01-04 04:00:00+00:00,9,0,0
2023-01-04 04:30:00+00:00,9,0,0
2023-01-04 05:00:00+00:00,9,0,0
2023-01-04 05:30:00+00:00,9,0,0
2023-01-04 06:00:00+00:00,9,0,0
2023-01-04 06:30:00+00:00,9,0,0
2023-01-04 07:00:00+00:00,9,0,3
2023-01-04 07:30:00+00:00,9,0,33
2023-01-04 08:00:00+00:00,9,292,106
2023-01-04 08:30:00+00:00,10,426,171
2023-01-04 09:00:00+00:00,11,554,239
2023-01-04 09:30:00+00:00,11,657,299
2023-01-04 10:00:00+00:00,12,690,343
2023-01-04 10:30:00+00:00,13,718,376
2023-01-04 11:00:00+00:00,14,732,397
2023-01-04 11:30:00+00:00,14,737,403
2023-01-04 12:00:00+00:00,14,736,397
2023-01-04 12:30:00+00:00,15,728,377
2023-01-04 13:00:00+00:00,15,707,344
2023-01-04 13:30:00+00:00,15,670,299
2023-01-04 14:00:00+00:00,15,616,243
2023-01-04 14:30:00+00:00,15,537,180
2023-01-04 15:00:00+00:00,15,424,113
2023-01-04 15:30:00+00:00,15,226,49
2023-01-04 16:00:00+00:00,14,12,5
2023-01-04 16:30:00+00:00,14,0,0
2023-01-04 17:00:00+00:00,13,0,0
2023-01-04 17:30:00+00:00,13,0,0
2023-01-04 18:00:00+00:00,13,0,0
2023-01-04 18:30:00+00:00,12,0,0
2023-01-04 19:00:00+00:00,12,0,0
2023-01-04 19:30:00+00:00,12,0,0
2023-01-04 20:00:00+00:00,12,0,0
2023-01-04 20:30:00+00:00,11,0,0
2023-01-04 21:00:00+00:00,11,0,0
2023-01-04 21:30:00+00:00,10,0,0
2023-01-04 22:00:00+00:00,10,0,0
2023-01-04 22:30:00+00:00,9,0,0
2023-01-04 23:00:00+00:00,9,0,0
2023-01-04 23:30:00+00:00,9,0,0
2023-01-05 00:00:00+00:00,9,0,0
2023-01-05 00:30:00+00:00,8,0,0
2023-01-05 01:00:00+00:00,8,0,0
2023-01-05 01:30:00+00:00,8,0,0
2023-01-05 02:00:00+00:00,8,0,0
2023-01-05 02:30:00+00:00,7,0,0
2023-01-05 03:00:00+00:00,7,0,0
2023-01-05 03:30:00+00:00,7,0,0
2023-01-05 04:00:00+00:00,7,0,0
2023-01-05 04:30:00+00:00,7,0,0
2023-01-05 05:00:00+00:00,7,0,0
2023-01-05 05:30:00+00:00,7,0,0
2023-01-05 06:00:00+00:00,7,0,0
2023-01-05 06:30:00+00:00,7,0,0
2023-01-05 07:00:00+00:00,6,18,6
2023-01-05 07:30:00+00:00,7,98,46
2023-01-05 08:00:00+00:00,7,102,94
2023-01-05 08:30:00+00:00,8,309,164
2023-01-05 09:00:00+00:00,9,584,246
2023-01-05 09:30:00+00:00,10,429,269
2023-01-05 10:00:00+00:00,11,46,230
2023-01-05 10:30:00+00:00,11,0,192
2023-01-05 11:00:00+00:00,12,0,177
2023-01-05 11:30:00+00:00,12,0,188
2023-01-05 12:00:00+00:00,13,0,192
2023-01-05 12:30:00+00:00,13,0,142
2023-01-05 13:00:00+00:00,13,0,112
2023-01-05 13:30:00+00:00,13,0,86
2023-01-05 14:00:00+00:00,13,0,94
2023-01-05 14:30:00+00:00,13,0,70
2023-01-05 15:00:00+00:00,13,0,45
2023-01-05 15:30:00+00:00,13,84,36
2023-01-05 16:00:00+00:00,13,2,5
2023-01-05 16:30:00+00:00,13,0,0
2023-01-05 17:00:00+00:00,12,0,0
2023-01-05 17:30:00+00:00,12,0,0
2023-01-05 18:00:00+00:00,12,0,0
2023-01-05 18:30:00+00:00,12,0,0
2023-01-05 19:00:00+00:00,12,0,0
2023-01-05 19:30:00+00:00,12,0,0
2023-01-05 20:00:00+00:00,11,0,0
2023-01-05 20:30:00+00:00,11,0,0
2023-01-05 21:00:00+00:00,10,0,0
2023-01-05 21:30:00+00:00,10,0,0
2023-01-05 22:00:00+00:00,10,0,0
2023-01-05 22:30:00+00:00,10,0,0
2023-01-05 23:00:00+00:00,10,0,0
2023-01-05 23:30:00+00:00,10,0,0
2023-01-06 00:00:00+00:00,9,0,0
2023-01-06 00:30:00+00:00,9,0,0
2023-01-06 01:00:00+00:00,9,0,0
2023-01-06 01:30:00+00:00,9,0,0
2023-01-06 02:00:00+00:00,10,0,0
2023-01-06 02:30:00+00:00,10,0,0
2023-01-06 03:00:00+00:00,9,0,0
